Extra_VNs,Payload_VNs
1,9
3,10
4,30
6,33
7,34
8,43
9,46
10,56
11,59
12,88
14,93
16,111
17,129
19,139
20,147
21,167
22,169
23,181
24,186
27,233
28,238
29,239
31,244
32,262
34,264
35,271
36,277
39,286
40,290
41,317
42,340
45,351
46,373
48,390
49,391
51,395
52,399
53,401
54,451
55,484
56,505
57,514
58,548
59,551
60,563
61,573
62,582
63,603
65,623
66,636
67,639
68,642
69,658
70,701
71,720
72,742
73,757
74,769
75,775
76,791
77,798
79,813
80,817
81,822
84,825
85,837
86,862
87,916
88,924
89,935
90,939
91,946
92,962
93,969
94,971
95,973
96,1003
